address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost_two_people,reviews_list,cuisines_count,service_type,city_location
"Address_622, Bangalore",Resto_622,Yes,Yes,4.6,580,080-3864292,Koramangala,Fine Dining,Biryani,"Chinese, Mexican, North Indian, Thai",1000,Sample Review Text...,4,Buffet,Bengaluru
"Address_969, Bangalore",Empire Restaurant,No,Yes,2.9,2967,080-1293589,HSR Layout,Pub,Dosa,"Beverages, Chinese, Desserts, Italian, Thai",2500,Sample Review Text...,5,Delivery,Bengaluru
"Address_713, Bangalore",Resto_713,No,Yes,3.5,1236,080-7489687,MG Road,Casual Dining,Salad,"Fast Food, Mexican, South Indian",600,Sample Review Text...,3,Delivery,Bengaluru
"Address_938, Bangalore",Resto_938,Yes,No,4.6,1227,080-3875197,MG Road,Cafe,Sushi,South Indian,2000,Sample Review Text...,1,Delivery,Bengaluru
"Address_662, Bangalore",McDonald's,No,No,2.5,182,080-9525883,Whitefield,Cafe,Sushi,"Chinese, Italian, Mexican, North Indian, South Indian",2500,Sample Review Text...,5,Dine-out,Bengaluru
"Address_825, Bangalore",McDonald's,No,Yes,4.1,1306,080-4192453,Marathahalli,Quick Service Restaurant,Burgers,"Continental, Desserts, Mexican, Thai",2000,Sample Review Text...,4,Buffet,Bengaluru
"Address_427, Bangalore",Pizza Hut,Yes,Yes,3.7,1705,080-2779557,Indiranagar,Cafe,Sushi,"Chinese, North Indian, South Indian, Thai",400,Sample Review Text...,4,Dine-out,Bengaluru
"Address_114, Bangalore",McDonald's,No,No,2.6,1009,080-9204110,Whitefield,Pub,Sushi,"Beverages, Continental, Italian",800,Sample Review Text...,3,Cafes,Bengaluru
"Address_404, Bangalore",Resto_404,No,Yes,3.1,1598,080-4454568,JP Nagar,Pub,Sushi,Desserts,400,Sample Review Text...,1,Cafes,Bengaluru
"Address_977, Bangalore",Pizza Hut,Yes,Yes,3.3,365,080-2327930,Jayanagar,Quick Service Restaurant,Salad,"Italian, South Indian, Thai",1500,Sample Review Text...,3,Delivery,Bengaluru
"Address_188, Bangalore",Resto_188,No,Yes,3.5,952,080-3977282,HSR Layout,Casual Dining,Sushi,"Chinese, Continental, Desserts, North Indian, Thai",600,Sample Review Text...,5,Delivery,Bengaluru
"Address_327, Bangalore",Nandhana Palace,No,Yes,4.6,631,080-9659503,HSR Layout,Quick Service Restaurant,Pasta,"Beverages, Chinese, Continental, Thai",400,Sample Review Text...,4,Dine-out,Bengaluru
"Address_997, Bangalore",Resto_997,No,Yes,3.9,446,080-7424539,Whitefield,Bar,Pizza,North Indian,1000,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_281, Bangalore",Pizza Hut,No,Yes,2.5,1186,080-6379509,Indiranagar,Fine Dining,Biryani,"Continental, Desserts, Fast Food, Thai",3000,Sample Review Text...,4,Dine-out,Bengaluru
"Address_551, Bangalore",McDonald's,No,No,4.8,86,080-6740173,Jayanagar,Cafe,Steak,"Beverages, Italian, North Indian",200,Sample Review Text...,3,Buffet,Bengaluru
"Address_17, Bangalore",Resto_17,No,Yes,4.6,1000,080-9874152,JP Nagar,Quick Service Restaurant,Biryani,"Beverages, Desserts",1000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_983, Bangalore",Burger King,No,Yes,4,1649,080-3409702,Marathahalli,Cafe,Pizza,"Beverages, Fast Food, North Indian, South Indian",200,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_518, Bangalore",Resto_518,No,Yes,2.3,2322,080-7858398,HSR Layout,Cafe,Salad,"North Indian, South Indian",800,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_699, Bangalore",Leon Grill,Yes,Yes,3.5,489,080-5655311,Koramangala,Bakery,Burgers,Thai,400,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_899, Bangalore",Resto_899,Yes,No,2.9,1543,080-8189752,Indiranagar,Casual Dining,Salad,Chinese,200,Sample Review Text...,1,Delivery,Bengaluru
"Address_670, Bangalore",Pizza Hut,Yes,Yes,3,2310,080-4534635,MG Road,Quick Service Restaurant,Steak,"Mexican, South Indian, Thai",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_608, Bangalore",Nandhana Palace,Yes,No,4.1,875,080-4559708,Marathahalli,Pub,Burgers,"Beverages, Chinese, Italian",1500,Sample Review Text...,3,Delivery,Bengaluru
"Address_576, Bangalore",Resto_576,Yes,Yes,3.5,2331,080-6024905,MG Road,Cafe,Salad,"Desserts, South Indian",2500,Sample Review Text...,2,Cafes,Bengaluru
"Address_616, Bangalore",Onesta,No,Yes,3,2418,080-7100930,JP Nagar,Bar,Steak,"Chinese, Desserts, South Indian",600,Sample Review Text...,3,Cafes,Bengaluru
"Address_219, Bangalore",Onesta,No,Yes,3.5,2751,080-2699372,Indiranagar,Casual Dining,Dosa,"Chinese, Continental, Desserts, Mexican, South Indian",400,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_718, Bangalore",Resto_718,No,Yes,2.9,145,080-2410072,Indiranagar,Quick Service Restaurant,Pizza,Beverages,1500,Sample Review Text...,1,Dine-out,Bengaluru
"Address_69, Bangalore",Burger King,Yes,Yes,3.9,2258,080-2595275,HSR Layout,Bakery,Sushi,"Beverages, Italian, Mexican, Thai",2000,Sample Review Text...,4,Cafes,Bengaluru
"Address_252, Bangalore",Empire Restaurant,Yes,No,2.2,2635,080-2985251,unknown,Cafe,Burgers,"Fast Food, South Indian",1200,Sample Review Text...,2,Cafes,Bengaluru
"Address_600, Bangalore",Leon Grill,Yes,Yes,2.1,534,080-5114686,Marathahalli,Fine Dining,Steak,"Beverages, Italian, South Indian",1000,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_49, Bangalore",Resto_49,No,No,4.2,833,080-5014745,Whitefield,Pub,Pasta,"Continental, Desserts",2000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_982, Bangalore",Onesta,No,Yes,4.5,948,080-8543762,unknown,Casual Dining,Biryani,"Beverages, Italian, North Indian, South Indian, Thai",1200,Sample Review Text...,5,Cafes,Bengaluru
"Address_241, Bangalore",Nandhana Palace,Yes,No,3.3,1656,080-2060950,MG Road,Quick Service Restaurant,Biryani,Mexican,400,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_854, Bangalore",McDonald's,No,Yes,4.4,1529,080-8611052,MG Road,Pub,Pasta,"Beverages, Italian, Mexican, Thai",400,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_107, Bangalore",Onesta,Yes,Yes,3.5,986,080-8895137,HSR Layout,Pub,Dosa,"Continental, Fast Food, North Indian",2000,Sample Review Text...,3,Buffet,Bengaluru
"Address_253, Bangalore",Nandhana Palace,No,No,3.7,2651,080-3260294,MG Road,Casual Dining,Biryani,"North Indian, South Indian",3000,Sample Review Text...,2,Buffet,Bengaluru
"Address_931, Bangalore",Leon Grill,No,Yes,2.1,2824,080-6139499,MG Road,Pub,Steak,"Desserts, Italian, North Indian",600,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_873, Bangalore",Resto_873,Yes,No,3.1,2255,080-8629616,MG Road,Casual Dining,Dosa,Italian,1000,Sample Review Text...,1,Buffet,Bengaluru
"Address_5, Bangalore",Onesta,Yes,No,4.2,2207,080-1790481,Whitefield,Fine Dining,Pizza,"Beverages, Chinese, Fast Food, Mexican, Thai",2500,Sample Review Text...,5,Dine-out,Bengaluru
"Address_341, Bangalore",McDonald's,Yes,No,2.2,2990,080-6242875,Whitefield,Bakery,Biryani,"Beverages, Chinese, Desserts, Fast Food, Italian",400,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_139, Bangalore",McDonald's,Yes,Yes,4.6,2835,080-1552000,Marathahalli,Quick Service Restaurant,Pasta,Chinese,1000,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_857, Bangalore",Empire Restaurant,No,Yes,3,1047,080-6889724,Marathahalli,Bar,Salad,"Beverages, Chinese, Mexican, Thai",3000,Sample Review Text...,4,Delivery,Bengaluru
"Address_77, Bangalore",McDonald's,Yes,No,4.7,360,080-9790632,MG Road,Bar,Pizza,Italian,1500,Sample Review Text...,1,Cafes,Bengaluru
"Address_85, Bangalore",Empire Restaurant,No,Yes,2.4,740,080-5780297,Jayanagar,Fine Dining,Salad,"Desserts, Mexican, North Indian, Thai",800,Sample Review Text...,4,Dine-out,Bengaluru
"Address_959, Bangalore",Resto_959,Yes,No,3.5,1197,080-7833008,HSR Layout,Cafe,Burgers,"Beverages, Desserts, Mexican, Thai",200,Sample Review Text...,4,Dine-out,Bengaluru
"Address_37, Bangalore",Pizza Hut,No,No,4.1,1099,080-8796514,JP Nagar,Bar,Steak,"Chinese, Continental",2000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_555, Bangalore",Resto_555,Yes,No,4.7,2914,080-6396217,MG Road,Cafe,Burgers,"Fast Food, North Indian, South Indian",200,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_421, Bangalore",Resto_421,Yes,Yes,2.8,2530,080-6423167,Marathahalli,Cafe,Steak,"Chinese, Desserts, Fast Food",200,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_458, Bangalore",KFC,Yes,Yes,3.5,76,080-8452933,Indiranagar,Fine Dining,Pizza,"Chinese, Continental, Mexican, North Indian, South Indian",800,Sample Review Text...,5,Buffet,Bengaluru
"Address_663, Bangalore",Resto_663,Yes,Yes,4.9,321,080-9854283,Indiranagar,Cafe,Biryani,"Beverages, Continental, Fast Food, Mexican, Thai",400,Sample Review Text...,5,Buffet,Bengaluru
"Address_60, Bangalore",Resto_60,No,No,2.5,541,080-6682698,JP Nagar,Pub,Pizza,"Continental, Fast Food, Italian, Mexican, South Indian",1000,Sample Review Text...,5,Cafes,Bengaluru
"Address_14, Bangalore",Onesta,Yes,Yes,4.8,2372,080-9910817,Koramangala,Fine Dining,Pasta,"Desserts, Fast Food, North Indian",2500,Sample Review Text...,3,Delivery,Bengaluru
"Address_674, Bangalore",Resto_674,No,No,4.1,2752,080-1597875,Indiranagar,Fine Dining,Biryani,"Chinese, Mexican, North Indian",2500,Sample Review Text...,3,Dine-out,Bengaluru
"Address_465, Bangalore",Resto_465,Yes,No,3.5,2860,080-9469478,Indiranagar,Bar,Sushi,"Beverages, Continental",1500,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_242, Bangalore",McDonald's,Yes,No,2.9,354,080-3288101,Whitefield,Bar,Steak,"Fast Food, Italian, Mexican, North Indian",600,Sample Review Text...,4,Buffet,Bengaluru
"Address_160, Bangalore",McDonald's,No,No,4.8,2107,080-6403886,Indiranagar,Cafe,Burgers,"Continental, North Indian, South Indian, Thai",600,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_676, Bangalore",Onesta,Yes,Yes,3.5,2817,080-4020978,Whitefield,Pub,Dosa,"Beverages, Fast Food, Italian, Thai",2500,Sample Review Text...,4,Dine-out,Bengaluru
"Address_777, Bangalore",Pizza Hut,No,No,4.8,1133,080-5415321,Marathahalli,Bar,Pasta,Thai,2000,Sample Review Text...,1,Dine-out,Bengaluru
"Address_503, Bangalore",Nandhana Palace,No,No,2.5,848,080-6425211,MG Road,Bakery,Pasta,Italian,800,Sample Review Text...,1,Delivery,Bengaluru
"Address_924, Bangalore",Resto_924,No,No,3.8,510,080-3150688,MG Road,Quick Service Restaurant,Pasta,"Chinese, Continental, Desserts, Italian, North Indian",800,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_4, Bangalore",Pizza Hut,Yes,No,4.3,938,080-6279418,Koramangala,Bar,Burgers,"Chinese, Continental, Mexican",800,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_565, Bangalore",Leon Grill,Yes,No,2.5,1155,080-3407905,Koramangala,Quick Service Restaurant,Pizza,"Mexican, South Indian",3000,Sample Review Text...,2,Cafes,Bengaluru
"Address_858, Bangalore",Resto_858,No,Yes,3.6,339,080-5049661,HSR Layout,Fine Dining,Salad,Desserts,1500,Sample Review Text...,1,Delivery,Bengaluru
"Address_803, Bangalore",McDonald's,No,Yes,2.2,1556,080-8363043,Jayanagar,Quick Service Restaurant,Biryani,"Chinese, Fast Food, Italian, South Indian, Thai",1200,Sample Review Text...,5,Cafes,Bengaluru
"Address_158, Bangalore",KFC,No,Yes,3.9,1013,080-2459332,Whitefield,Bar,Salad,Desserts,1000,Sample Review Text...,1,Delivery,Bengaluru
"Address_46, Bangalore",Pizza Hut,No,No,3.4,329,080-1348050,Koramangala,Bakery,Dosa,"Continental, Fast Food, North Indian",400,Sample Review Text...,3,Buffet,Bengaluru
"Address_101, Bangalore",Resto_101,No,No,4.4,302,080-6779998,Jayanagar,Quick Service Restaurant,Pasta,Desserts,2000,Sample Review Text...,1,Buffet,Bengaluru
"Address_834, Bangalore",Pizza Hut,Yes,Yes,3.5,1016,080-5967790,MG Road,Bakery,Biryani,Continental,1000,Sample Review Text...,1,Delivery,Bengaluru
"Address_307, Bangalore",Resto_307,No,Yes,3.5,1565,080-6524481,HSR Layout,Bakery,Salad,"Fast Food, South Indian",1500,Sample Review Text...,2,Buffet,Bengaluru
"Address_751, Bangalore",McDonald's,Yes,Yes,4.8,460,080-8813403,Jayanagar,Bar,Salad,"Chinese, Desserts, Italian, Mexican, North Indian",1500,Sample Review Text...,5,Pubs and bars,Bengaluru
"Address_949, Bangalore",Pizza Hut,Yes,Yes,4.1,2636,080-2076525,Jayanagar,Pub,Steak,"Beverages, Desserts, Fast Food, Italian",800,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_513, Bangalore",McDonald's,No,No,4.7,1528,080-3088386,MG Road,Bakery,Steak,"Chinese, Fast Food, Mexican",200,Sample Review Text...,3,Buffet,Bengaluru
"Address_355, Bangalore",Resto_355,No,Yes,3,347,080-5001116,Marathahalli,Fine Dining,Salad,"North Indian, South Indian",800,Sample Review Text...,2,Cafes,Bengaluru
"Address_335, Bangalore",Onesta,No,Yes,2.5,1662,080-2031500,Indiranagar,Pub,Pizza,Fast Food,1500,Sample Review Text...,1,Dine-out,Bengaluru
"Address_981, Bangalore",Leon Grill,Yes,Yes,3.5,661,080-8044211,Indiranagar,Bakery,Pasta,"Beverages, Chinese, Desserts, South Indian, Thai",1000,Sample Review Text...,5,Buffet,Bengaluru
"Address_629, Bangalore",Leon Grill,Yes,No,4.1,1769,080-7480045,Indiranagar,Quick Service Restaurant,Steak,"Desserts, North Indian",1200,Sample Review Text...,2,Cafes,Bengaluru
"Address_94, Bangalore",Resto_94,No,No,4.2,1583,080-2324175,JP Nagar,Cafe,Steak,"Continental, Desserts, Mexican, Thai",400,Sample Review Text...,4,Buffet,Bengaluru
"Address_646, Bangalore",Pizza Hut,No,No,2.2,646,080-2860164,Whitefield,Casual Dining,Salad,"Beverages, Continental, Desserts, Fast Food, Italian",200,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_807, Bangalore",Resto_807,Yes,No,4.6,1507,080-4808186,Koramangala,Bakery,Steak,"Desserts, North Indian, South Indian",1500,Sample Review Text...,3,Dine-out,Bengaluru
"Address_199, Bangalore",Resto_199,No,Yes,3.3,2569,080-6471499,Jayanagar,Bar,Dosa,"Chinese, Continental, Italian, North Indian, Thai",2500,Sample Review Text...,5,Buffet,Bengaluru
"Address_422, Bangalore",Resto_422,No,No,2.7,390,080-1763562,Koramangala,Casual Dining,Biryani,"Desserts, Italian, Thai",3000,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_314, Bangalore",Onesta,Yes,Yes,3.7,2851,080-4387856,Jayanagar,Bakery,Salad,"Chinese, Desserts, North Indian, Thai",2000,Sample Review Text...,4,Delivery,Bengaluru
"Address_385, Bangalore",Onesta,Yes,No,3.6,1056,080-1294357,Marathahalli,Fine Dining,Dosa,Thai,2500,Sample Review Text...,1,Dine-out,Bengaluru
"Address_900, Bangalore",Leon Grill,Yes,Yes,2.1,1193,080-6538859,JP Nagar,Fine Dining,Pizza,"Chinese, Fast Food, North Indian",600,Sample Review Text...,3,Delivery,Bengaluru
"Address_605, Bangalore",Resto_605,No,No,3.4,2099,080-6227531,MG Road,Cafe,Pasta,"Continental, Italian, South Indian",1500,Sample Review Text...,3,Dine-out,Bengaluru
"Address_313, Bangalore",Empire Restaurant,No,Yes,3.3,1247,080-9673311,Whitefield,Bakery,Pasta,"Continental, Mexican",3000,Sample Review Text...,2,Cafes,Bengaluru
"Address_542, Bangalore",Burger King,No,Yes,4,2921,080-1886921,Jayanagar,Fine Dining,Sushi,"Mexican, South Indian",3000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_918, Bangalore",McDonald's,Yes,No,3.2,159,080-7912713,Indiranagar,Casual Dining,Pizza,"Continental, Mexican, South Indian",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_184, Bangalore",Resto_184,Yes,Yes,3.8,2651,080-8033593,Whitefield,Bakery,Burgers,"Beverages, Desserts, Fast Food, North Indian",1000,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_105, Bangalore",Onesta,Yes,No,2.9,2942,080-6353876,JP Nagar,Fine Dining,Burgers,"Mexican, South Indian, Thai",2500,Sample Review Text...,3,Cafes,Bengaluru
"Address_198, Bangalore",Onesta,Yes,No,3.1,2925,080-3804559,Koramangala,Pub,Burgers,"Beverages, Chinese, Italian, Mexican, South Indian",600,Sample Review Text...,5,Dine-out,Bengaluru
"Address_250, Bangalore",Resto_250,No,Yes,3.5,1513,080-8627651,HSR Layout,Casual Dining,Biryani,"Beverages, Thai",1500,Sample Review Text...,2,Delivery,Bengaluru
"Address_630, Bangalore",Nandhana Palace,No,No,2.5,1785,080-6116985,JP Nagar,Bar,Pizza,"Beverages, Chinese, Continental, Italian, South Indian",2500,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_477, Bangalore",Leon Grill,Yes,Yes,2.2,1276,080-6752912,MG Road,Pub,Dosa,"Beverages, Continental, South Indian",600,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_287, Bangalore",Resto_287,Yes,Yes,2.7,2287,080-1662507,JP Nagar,Bar,Salad,"Italian, Mexican, North Indian, South Indian",600,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_457, Bangalore",Resto_457,No,No,3.1,2215,080-6181610,Koramangala,Fine Dining,Pizza,"Chinese, Continental, South Indian, Thai",200,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_409, Bangalore",Resto_409,Yes,No,2.4,113,080-1620819,unknown,Bar,Burgers,"Desserts, Fast Food, Mexican",1500,Sample Review Text...,3,Dine-out,Bengaluru
"Address_696, Bangalore",McDonald's,Yes,Yes,4.5,2744,080-1179053,JP Nagar,Fine Dining,Burgers,"Beverages, Desserts, Fast Food, Italian",1200,Sample Review Text...,4,Cafes,Bengaluru
"Address_837, Bangalore",McDonald's,No,Yes,4.4,141,080-2139083,Whitefield,Quick Service Restaurant,Pasta,"Beverages, Fast Food, Mexican, North Indian, Thai",600,Sample Review Text...,5,Dine-out,Bengaluru
"Address_569, Bangalore",Leon Grill,No,No,4.5,1575,080-5728058,Indiranagar,Bakery,Sushi,"Chinese, Italian",400,Sample Review Text...,2,Delivery,Bengaluru
"Address_463, Bangalore",Leon Grill,No,No,4.5,2049,080-8109386,HSR Layout,Bar,Salad,"Beverages, Thai",600,Sample Review Text...,2,Delivery,Bengaluru
"Address_211, Bangalore",Nandhana Palace,No,Yes,4.5,1563,080-6749046,Whitefield,Bakery,Steak,South Indian,600,Sample Review Text...,1,Buffet,Bengaluru
"Address_682, Bangalore",Resto_682,Yes,Yes,4.3,173,080-3074382,Jayanagar,Quick Service Restaurant,Steak,"Beverages, Italian, North Indian",200,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_401, Bangalore",Resto_401,Yes,No,4,2343,080-7338393,Marathahalli,Bakery,Sushi,"Beverages, Fast Food, Italian, North Indian, South Indian",2000,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_132, Bangalore",Nandhana Palace,No,Yes,4,1624,080-6174467,HSR Layout,Pub,Dosa,"Continental, Desserts, Mexican",2500,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_810, Bangalore",KFC,Yes,No,2.5,1574,080-3614824,MG Road,Cafe,Steak,"Continental, Italian, Mexican, North Indian",600,Sample Review Text...,4,Buffet,Bengaluru
"Address_836, Bangalore",Resto_836,No,No,2.4,69,080-7291943,Indiranagar,Casual Dining,Biryani,"Beverages, Desserts, Thai",600,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_344, Bangalore",Resto_344,Yes,Yes,4.1,2699,080-9848116,Marathahalli,Quick Service Restaurant,Biryani,"Continental, Italian",2000,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_89, Bangalore",Onesta,No,Yes,2.1,883,080-1801102,Jayanagar,Pub,Burgers,"Beverages, Chinese, Fast Food, Mexican, South Indian",800,Sample Review Text...,5,Cafes,Bengaluru
"Address_3, Bangalore",Nandhana Palace,No,No,4.4,666,080-9961380,JP Nagar,Quick Service Restaurant,Burgers,"Chinese, Continental",3000,Sample Review Text...,2,Dine-out,Bengaluru
"Address_408, Bangalore",Empire Restaurant,Yes,No,2.7,2807,080-5478422,Whitefield,Bar,Dosa,"Beverages, Chinese, Mexican, Thai",800,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_724, Bangalore",Nandhana Palace,Yes,No,4.2,1849,080-8239885,Marathahalli,Casual Dining,Steak,"Fast Food, South Indian",3000,Sample Review Text...,2,Delivery,Bengaluru
"Address_502, Bangalore",KFC,Yes,Yes,4.9,1380,080-3816607,HSR Layout,Fine Dining,Pasta,Italian,400,Sample Review Text...,1,Delivery,Bengaluru
"Address_659, Bangalore",Nandhana Palace,No,Yes,4.3,1063,080-4903596,Marathahalli,Cafe,Pizza,"Fast Food, South Indian",3000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_438, Bangalore",Resto_438,No,Yes,2.3,2920,080-9612679,MG Road,Bakery,Salad,"Beverages, Continental, Fast Food, North Indian",2000,Sample Review Text...,4,Dine-out,Bengaluru
"Address_765, Bangalore",Resto_765,No,No,3.3,1076,080-9176462,Marathahalli,Casual Dining,Salad,"Beverages, Fast Food, Thai",600,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_225, Bangalore",Resto_225,No,No,2.2,1819,080-7917892,Marathahalli,Casual Dining,Biryani,"Chinese, Desserts, Italian, Thai",200,Sample Review Text...,4,Buffet,Bengaluru
"Address_97, Bangalore",Resto_97,Yes,Yes,4.8,1523,080-7677903,Marathahalli,Bar,Sushi,Fast Food,600,Sample Review Text...,1,Pubs and bars,Bengaluru
"Address_799, Bangalore",Pizza Hut,No,Yes,3.2,1139,080-4740892,HSR Layout,Bar,Pizza,"Beverages, Continental, Mexican, North Indian",2000,Sample Review Text...,4,Pubs and bars,Bengaluru
"Address_296, Bangalore",Leon Grill,Yes,Yes,2.5,1085,080-7707501,JP Nagar,Pub,Burgers,"Continental, Italian",1000,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_906, Bangalore",Burger King,No,Yes,3.5,672,080-3354531,Whitefield,Bakery,Burgers,Desserts,1200,Sample Review Text...,1,Buffet,Bengaluru
"Address_852, Bangalore",Resto_852,No,No,3.6,2786,080-3674757,Jayanagar,Casual Dining,Pasta,"Beverages, South Indian, Thai",2500,Sample Review Text...,3,Dine-out,Bengaluru
"Address_432, Bangalore",Nandhana Palace,No,No,4.6,1956,080-1800747,Whitefield,Cafe,Pizza,"Continental, Italian",2500,Sample Review Text...,2,Delivery,Bengaluru
"Address_594, Bangalore",Burger King,No,No,3.6,2142,080-3728933,JP Nagar,Casual Dining,Steak,"Desserts, Mexican",1200,Sample Review Text...,2,Cafes,Bengaluru
"Address_830, Bangalore",Resto_830,No,Yes,4.8,258,080-6243501,Koramangala,Bakery,Salad,"Beverages, Italian, Mexican",1200,Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_224, Bangalore",Burger King,Yes,Yes,3.5,642,080-5666702,Marathahalli,Bar,Biryani,"Chinese, Desserts, Fast Food, South Indian",800,Sample Review Text...,4,Buffet,Bengaluru
"Address_345, Bangalore",Leon Grill,Yes,No,3.2,1569,080-2946062,HSR Layout,Fine Dining,Biryani,"Italian, North Indian, South Indian, Thai",1000,Sample Review Text...,4,Dine-out,Bengaluru
"Address_878, Bangalore",Burger King,No,Yes,4.5,1673,080-5558760,Marathahalli,Bakery,Burgers,"Fast Food, Mexican",200,Sample Review Text...,2,Pubs and bars,Bengaluru
"Address_311, Bangalore",Resto_311,Yes,No,2.6,2749,080-9219877,HSR Layout,Bar,Sushi,"Chinese, South Indian",2000,Sample Review Text...,2,Cafes,Bengaluru
"Address_373, Bangalore",Resto_373,No,No,3.5,502,080-8681853,Marathahalli,Fine Dining,Pizza,"Beverages, Continental, Desserts, Fast Food, South Indian",400,Sample Review Text...,5,Delivery,Bengaluru
"Address_134, Bangalore",Resto_134,Yes,No,2.7,2255,080-9192588,JP Nagar,Quick Service Restaurant,Pasta,"Desserts, Fast Food, South Indian, Thai",1200,Sample Review Text...,4,Buffet,Bengaluru
"Address_42, Bangalore",Pizza Hut,No,No,2.5,210,080-1899411,Whitefield,Bar,Pasta,"Chinese, Fast Food, Italian, Mexican",400,Sample Review Text...,4,Dine-out,Bengaluru
"Address_207, Bangalore",Burger King,Yes,Yes,3.9,1532,080-5638619,Whitefield,Quick Service Restaurant,Sushi,Desserts,400,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_515, Bangalore",Empire Restaurant,Yes,No,4.7,603,080-2348021,Whitefield,Cafe,Burgers,"Desserts, Fast Food, Mexican, North Indian, South Indian",1500,Sample Review Text...,5,Cafes,Bengaluru
"Address_742, Bangalore",McDonald's,No,No,2.2,1769,080-4577178,Whitefield,Casual Dining,Dosa,"Beverages, Chinese, South Indian, Thai",400,Sample Review Text...,4,Buffet,Bengaluru
"Address_560, Bangalore",Nandhana Palace,Yes,No,3.1,1598,080-1148668,MG Road,Pub,Salad,"Italian, North Indian, South Indian",600,Sample Review Text...,3,Buffet,Bengaluru
"Address_243, Bangalore",Resto_243,Yes,No,4.7,2987,080-2428191,JP Nagar,Casual Dining,Dosa,"Beverages, Chinese, Mexican, North Indian, South Indian",3000,Sample Review Text...,5,Dine-out,Bengaluru
"Address_709, Bangalore",Resto_709,No,Yes,3.6,571,080-8695935,Jayanagar,Fine Dining,Steak,"Chinese, Continental, North Indian",600,Sample Review Text...,3,Dine-out,Bengaluru
"Address_589, Bangalore",Resto_589,Yes,No,3.5,1480,080-8095426,MG Road,Bakery,Dosa,"Italian, North Indian",200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_32, Bangalore",Resto_32,No,Yes,3.5,1613,080-4551070,Koramangala,Casual Dining,Salad,"Desserts, Fast Food, North Indian, South Indian",1000,Sample Review Text...,4,Drinks & nightlife,Bengaluru
"Address_804, Bangalore",Resto_804,Yes,No,2.4,1300,080-3850704,Koramangala,Casual Dining,Sushi,Mexican,2500,Sample Review Text...,1,Drinks & nightlife,Bengaluru
"Address_223, Bangalore",Resto_223,No,No,3.5,1071,080-5170429,JP Nagar,Casual Dining,Salad,"Continental, Fast Food, Italian, Mexican, Thai",3000,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_133, Bangalore",Onesta,No,Yes,4.1,1311,080-8005797,HSR Layout,Quick Service Restaurant,Dosa,"Italian, Mexican, North Indian",600,Sample Review Text...,3,Dine-out,Bengaluru
"Address_903, Bangalore",Burger King,No,Yes,4.5,2728,080-1985629,JP Nagar,Cafe,Pizza,"Desserts, South Indian",600,Sample Review Text...,2,Dine-out,Bengaluru
"Address_489, Bangalore",Pizza Hut,No,No,3.8,564,080-1199493,Whitefield,Casual Dining,Salad,"Continental, Mexican, Thai",1500,Sample Review Text...,3,Pubs and bars,Bengaluru
